GEO.id,GEO.id2,GEO.display-label,Estimate; Total,Margin of Error; Total
7950000US0600101,600101,"Alameda County (North)--Berkeley & Albany Cities PUMA, California",139644,181
7950000US0600102,600102,"Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities PUMA, California",169836,1728
7950000US0600103,600103,"Alameda County (Northeast)--Oakland (East) & Piedmont Cities PUMA, California",132313,1594
7950000US0600104,600104,"Alameda County (North Central)--Oakland City (South Central) PUMA, California",134481,2034
7950000US0600105,600105,"Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities PUMA; California",173300,638
7950000US0600106,600106,"Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland PUMA; California",144513,1399
7950000US0600107,600107,"Alameda County (Central)--Hayward City PUMA, California",156945,1357
7950000US0600108,600108,"Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities PUMA; California",145426,669
7950000US0600109,600109,"Alameda County (South Central)--Fremont City (East) PUMA, California",204008,565
7950000US0600110,600110,"Alameda County (East)--Livermore, Pleasanton & Dublin Cities PUMA; California",229149,695
7950000US0600300,600300,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties PUMA; California",187376,179
7950000US0600701,600701,"Butte County (Northwest)--Chico City PUMA, California",115884,1018
7950000US0600702,600702,"Butte County (Southeast)--Oroville City & Paradise Town PUMA, California",109323,1018
7950000US0601100,601100,"Colusa, Glenn, Tehama & Trinity Counties PUMA; California",125698,*****
7950000US0601301,601301,"Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities PUMA, California",120420,1545
7950000US0601302,601302,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites PUMA; California",125500,1446
7950000US0601303,601303,"Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities PUMA; California",136479,1636
7950000US0601304,601304,"Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town PUMA; California",127507,1170
7950000US0601305,601305,"Contra Costa County (South)--San Ramon City & Danville Town PUMA, California",130808,809
7950000US0601306,601306,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities PUMA; California",119519,1496
7950000US0601307,601307,"Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities PUMA, California",131669,1383
7950000US0601308,601308,"Contra Costa County (Northeast)--Antioch City PUMA, California",115016,874
7950000US0601309,601309,"Contra Costa County (East)--Brentwood & Oakley Cities PUMA, California",116760,1095
7950000US0601500,601500,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties PUMA; California",130183,*****
7950000US0601700,601700,"El Dorado County--El Dorado Hills PUMA, California",185015,*****
7950000US0601901,601901,"Fresno County (West)--Selma, Kerman & Coalinga Cities PUMA; California",147354,1439
7950000US0601902,601902,"Fresno County (North Central)--Fresno City (North) PUMA, California",185741,2351
7950000US0601903,601903,"Fresno County (Central)--Fresno City (East Central) PUMA, California",106385,2270
7950000US0601904,601904,"Fresno County (Central)--Fresno City (Southwest) PUMA, California",173556,2561
7950000US0601905,601905,"Fresno County (Central)--Fresno City (Southeast) PUMA, California",112790,2018
7950000US0601906,601906,"Fresno County (Central)--Clovis City PUMA, California",113012,1071
7950000US0601907,601907,"Fresno County (East)--Sanger, Reedley & Parlier Cities PUMA; California",132778,1572
7950000US0602300,602300,"Humboldt County PUMA, California",135490,*****
7950000US0602500,602500,"Imperial County--El Centro City PUMA, California",179957,*****
7950000US0602901,602901,"Kern County (West)--Delano, Wasco & Shafter Cities PUMA; California",197358,2334
7950000US0602902,602902,"Kern County (Central)--Bakersfield City (West) PUMA, California",216629,2847
7950000US0602903,602903,"Kern County (Central)--Bakersfield City (Northeast) PUMA, California",162702,2635
7950000US0602904,602904,"Kern County (Central)--Bakersfield City (Southeast) PUMA, California",111668,2060
7950000US0602905,602905,"Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities PUMA; California",190387,2569
7950000US0603100,603100,"Kings County--Hanford City PUMA, California",150183,*****
7950000US0603300,603300,"Lake & Mendocino Counties PUMA, California",151592,*****
7950000US0603701,603701,"Los Angeles County (North/Unincorporated)--Castaic PUMA, California",140364,2137
7950000US0603702,603702,"Los Angeles County (Northwest)--Santa Clarita City PUMA, California",195370,903
7950000US0603703,603703,"Los Angeles County (North Central)--Lancaster City PUMA, California",166235,936
7950000US0603704,603704,"Los Angeles County (North Central)--Palmdale City PUMA, California",169291,908
7950000US0603705,603705,"Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA, California",182380,2360
7950000US0603706,603706,"Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA, California",143740,2041
7950000US0603707,603707,"Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA, California",155127,2384
7950000US0603708,603708,"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA; California",133211,2315
7950000US0603709,603709,"Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA, California",112480,1597
7950000US0603710,603710,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA; California",178971,1476
7950000US0603711,603711,"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA; California",169697,830
7950000US0603712,603712,"Los Angeles County (East Central)--Pomona City PUMA, California",150863,502
7950000US0603713,603713,"Los Angeles County (East Central)--Covina & Walnut Cities PUMA, California",112091,1557
7950000US0603714,603714,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA; California",112300,1301
7950000US0603715,603715,"Los Angeles County (East Central)--West Covina City PUMA, California",121048,1790
7950000US0603716,603716,"Los Angeles County (East Central)--La Puente & Industry Cities PUMA, California",114431,1514
7950000US0603717,603717,"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA; California",193465,1674
7950000US0603718,603718,"Los Angeles County (Central)--Pasadena City PUMA, California",139599,598
7950000US0603719,603719,"Los Angeles County (Central)--Glendale City PUMA, California",198463,372
7950000US0603720,603720,"Los Angeles County (Central)--Burbank City PUMA, California",119312,791
7950000US0603721,603721,"Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village) PUMA, California",135866,2113
7950000US0603722,603722,"Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks) PUMA, California",168677,2738
7950000US0603723,603723,"Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUMA, California",147267,2322
7950000US0603724,603724,"Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana) PUMA, California",179317,2929
7950000US0603725,603725,"Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills) PUMA; California",183001,2224
7950000US0603726,603726,"Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA; California",103224,1073
7950000US0603727,603727,"Los Angeles County (Central)--LA City (Central/Pacific Palisades) PUMA, California",158250,2065
7950000US0603728,603728,"Los Angeles County (Southwest)--Santa Monica City PUMA, California",104380,586
7950000US0603729,603729,"Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles) PUMA, California",206636,2481
7950000US0603730,603730,"Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire) PUMA, California",168429,2145
7950000US0603731,603731,"Los Angeles County (Central)--West Hollywood & Beverly Hills Cities PUMA, California",112019,1089
7950000US0603732,603732,"Los Angeles County (Central)--LA City (East Central/Hollywood) PUMA, California",178333,2588
7950000US0603733,603733,"Los Angeles County (Central)--LA City (Central/Koreatown) PUMA, California",116460,2345
7950000US0603734,603734,"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA; California",204861,2592
7950000US0603735,603735,"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park) PUMA; California",200048,2327
7950000US0603736,603736,"Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA, California",117877,585
7950000US0603737,603737,"Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA, California",130828,1085
7950000US0603738,603738,"Los Angeles County (Central)--El Monte & South El Monte Cities PUMA, California",135201,488
7950000US0603739,603739,"Los Angeles County (Southeast)--Whittier City & Hacienda Heights PUMA, California",168659,1658
7950000US0603740,603740,"Los Angeles County (Central)--Pico Rivera & Montebello Cities PUMA, California",130851,667
7950000US0603741,603741,"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA; California",145928,163
7950000US0603742,603742,"Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUMA; California",132717,1954
7950000US0603743,603743,"Los Angeles County (Central)--East Los Angeles PUMA, California",120896,2152
7950000US0603744,603744,"Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUMA, California",177455,2323
7950000US0603745,603745,"Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA, California",125455,2257
7950000US0603746,603746,"Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA, California",114531,2033
7950000US0603747,603747,"Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills) PUMA, California",157711,2770
7950000US0603748,603748,"Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA, California",186552,2364
7950000US0603749,603749,"Los Angeles County (Central)--Inglewood City PUMA, California",115075,904
7950000US0603750,603750,"Los Angeles County (South Central)--LA City (South Central/Westmont) PUMA, California",176262,3292
7950000US0603751,603751,"Los Angeles County (South Central)--LA City (South Central/Watts) PUMA, California",161224,2978
7950000US0603752,603752,"Los Angeles County (South)--South Gate & Lynwood Cities PUMA, California",174687,866
7950000US0603753,603753,"Los Angeles County (South)--Downey City PUMA, California",111986,135
7950000US0603754,603754,"Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities PUMA, California",142275,1731
7950000US0603755,603755,"Los Angeles County (Southeast)--Norwalk City PUMA, California",123480,907
7950000US0603756,603756,"Los Angeles County (Southeast)--Bellflower & Paramount Cities PUMA, California",118500,708
7950000US0603757,603757,"Los Angeles County (South Central)--Compton City & West Rancho Dominguez PUMA, California",162649,2074
7950000US0603758,603758,"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens PUMA; California",158314,1941
7950000US0603759,603759,"Los Angeles County (South Central)--Hawthorne City PUMA, California",114536,1317
7950000US0603760,603760,"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA; California",140327,98
7950000US0603761,603761,"Los Angeles County (South Central)--Torrance City PUMA, California",127455,652
7950000US0603762,603762,"Los Angeles County (South Central)--Carson City PUMA, California",114487,904
7950000US0603763,603763,"Los Angeles County (South Central)--Long Beach City (North) PUMA, California",146808,1957
7950000US0603764,603764,"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA; California",161892,328
7950000US0603765,603765,"Los Angeles County (Southeast)--Long Beach City (East) PUMA, California",131351,1545
7950000US0603766,603766,"Los Angeles County (South)--Long Beach City (Southwest & Port) PUMA, California",105284,1929
7950000US0603767,603767,"Los Angeles County (South)--LA City (South/San Pedro) PUMA, California",186164,2689
7950000US0603768,603768,"Los Angeles County (Southwest)--Palos Verdes Peninsula PUMA, California",112490,696
7950000US0603769,603769,"Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA, California",100609,1429
7950000US0603900,603900,"Madera County--Madera City PUMA, California",154440,*****
7950000US0604101,604101,"Marin County (North & West)--Novato & San Rafael (North) Cities PUMA, California",110567,1224
7950000US0604102,604102,"Marin County (Southeast)--San Rafael (South), Mill Valley & Sausalito Cities PUMA; California",150247,1224
7950000US0604701,604701,"Merced County (West & South)--Los Banos & Livingston Cities PUMA, California",108645,1368
7950000US0604702,604702,"Merced County (Northeast)--Merced & Atwater Cities PUMA, California",158745,1368
7950000US0605301,605301,"Monterey County (North Central)--Seaside, Monterey, Marina & Pacific Grove Cities PUMA; California",183227,1247
7950000US0605302,605302,"Monterey County (Northeast)--Salinas City PUMA, California",169383,1046
7950000US0605303,605303,"Monterey (South & East) & San Benito Counties PUMA, California",139229,1163
7950000US0605500,605500,"Napa County--Napa City PUMA, California",141005,*****
7950000US0605700,605700,"Nevada & Sierra Counties PUMA, California",101723,179
7950000US0605901,605901,"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA; California",183167,1044
7950000US0605902,605902,"Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA, California",109696,905
7950000US0605903,605903,"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA; California",208803,1770
7950000US0605904,605904,"Orange County (Central)--Irvine City (Central) PUMA, California",235154,2909
7950000US0605905,605905,"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA; California",213004,2626
7950000US0605906,605906,"Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA; California",186672,1437
7950000US0605907,605907,"Orange County (North Central)--Fullerton & Placentia Cities PUMA, California",194874,1589
7950000US0605908,605908,"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities PUMA; California",182905,1434
7950000US0605909,605909,"Orange County (North Central)--Anaheim City (West) PUMA, California",150326,2046
7950000US0605910,605910,"Orange County (North Central)--Anaheim City (East) PUMA, California",199211,2215
7950000US0605911,605911,"Orange County (Central)--Orange & Villa Park Cities PUMA, California",141251,1561
7950000US0605912,605912,"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA; California",171942,1758
7950000US0605913,605913,"Orange County (Northwest)--Garden Grove City (East) PUMA, California",163052,1602
7950000US0605914,605914,"Orange County (Northwest)--Huntington Beach City PUMA, California",198568,853
7950000US0605915,605915,"Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA, California",108390,1398
7950000US0605916,605916,"Orange County (Central)--Santa Ana City (West) PUMA, California",159750,2130
7950000US0605917,605917,"Orange County (Central)--Santa Ana City (East) PUMA, California",167126,2106
7950000US0605918,605918,"Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA, California",181925,966
7950000US0606101,606101,"Placer County (Southwest)--Roseville City PUMA, California",138874,867
7950000US0606102,606102,"Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town PUMA; California",121994,799
7950000US0606103,606103,"Placer County (East/High Country Region)--Auburn & Colfax Cities PUMA, California",114117,1230
7950000US0606501,606501,"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA; California",184302,1883
7950000US0606502,606502,"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA; California",136104,1394
7950000US0606503,606503,"Riverside County (Southwest)--Temecula City PUMA, California",139111,1389
7950000US0606504,606504,"Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA, California",139766,1395
7950000US0606505,606505,"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA; California",201179,2291
7950000US0606506,606506,"Riverside County (Southwest)--Hemet City & East Hemet PUMA, California",164133,2123
7950000US0606507,606507,"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA; California",161009,1918
7950000US0606508,606508,"Riverside County (Northwest)--Moreno Valley City PUMA, California",192114,709
7950000US0606509,606509,"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA; California",128719,2260
7950000US0606510,606510,"Riverside County (Northwest)--Riverside City (East) PUMA, California",151251,2481
7950000US0606511,606511,"Riverside County (Northwest)--Riverside City (West) PUMA, California",176342,2099
7950000US0606512,606512,"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA; California",113219,2300
7950000US0606513,606513,"Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA, California",150874,1339
7950000US0606514,606514,"Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA, California",162198,519
7950000US0606515,606515,"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA; California",154681,2335
7950000US0606701,606701,"Sacramento County (North Central)--Citrus Heights City PUMA, California",109364,1203
7950000US0606702,606702,"Sacramento County (Central)--Rancho Cordova City PUMA, California",117003,1137
7950000US0606703,606703,"Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West) PUMA; California",113425,1859
7950000US0606704,606704,"Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park PUMA; California",130480,2169
7950000US0606705,606705,"Sacramento County (Northwest)--Sacramento City (Northwest/Natomas) PUMA, California",111343,2083
7950000US0606706,606706,"Sacramento County (North)--Sacramento City (North), Antelope & Rio Linda PUMA; California",121386,1916
7950000US0606707,606707,"Sacramento County (West)--Sacramento City (Central/Downtown & Midtown) PUMA, California",117359,1740
7950000US0606708,606708,"Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park) PUMA; California",140003,2495
