ID,D_time,D_geo_X,D_geo_Y,D_geo_type,D_box_X,D_box_Y,D_place_name,D_tweet_text,D_tweet_url
tmj_cao_aero,Thu Apr 18 22:14:38 +0000 2019,33.9532039,-118.3868424,Point,34.0207895,-118.4119065,Los Angeles,"Don't submit then quit. Apply for jobs like ""SUMMER COLLEGE INTERN PROGRAM -AVIATION SAFETY- PAID"" at, then look fo… https://t.co/GHfk2MflMD",https://twitter.com/i/web/status/1119001316418674688
tmj_cao_aero,Thu Apr 18 18:00:51 +0000 2019,34.0522265,-118.2436596,Point,34.0207895,-118.4119065,Los Angeles,"If jobs with titles like ""Aviation Safety Inspector Air Carrier Avionics - Geographic"" sound appealing to you, foll… https://t.co/rROHe9IvX5",https://twitter.com/i/web/status/1118937449214824448
tmj_cao_aero,Tue Apr 16 23:55:46 +0000 2019,33.9201384,-118.3785046,Point,33.9158045,-118.3699205,Del Aire,"This job might be a great fit for you: Space Systems Engineer - https://t.co/L8yq9YCmCK #Aerospace #ElSegundo, CA",http://bit.ly/2VLUdzD
tmj_cao_aero,Tue Apr 16 00:41:01 +0000 2019,33.9191799,-118.4164652,Point,33.9166485,-118.400264,El Segundo,"Don't submit then quit. Apply for jobs like ""Management and Program Assistant"" at Federal Aviation Administration,… https://t.co/9hK2gYhcAJ",https://twitter.com/i/web/status/1117950990903209984
tmj_cao_aero,Mon Apr 15 20:07:37 +0000 2019,33.7700504,-118.1937395,Point,33.8091715,-118.1567104,Long Beach,"This Inspection, Investigation job might be a great fit for you. Click the link in our bio to see it and more. Avia… https://t.co/03CTYPVhC5",https://twitter.com/i/web/status/1117882188823818240
tmj_cao_aero,Sun Apr 14 20:52:12 +0000 2019,33.9533487,-117.3961564,Point,33.935822,-117.397616,Riverside,"Want to work at Federal Aviation Administration? We're hiring in Riverside, CA! Click the link in our bio for detai… https://t.co/NjuJKw94E8",https://twitter.com/i/web/status/1117531018813030400
tmj_cao_aero,Sun Apr 14 16:18:50 +0000 2019,33.9516114,-118.3875775,Point,34.0207895,-118.4119065,Los Angeles,"This job might be a great fit for you: SUPERVISOR-HOURLY - https://t.co/UvumJgj2vc #Aerospace #LosAngeles, CA",http://bit.ly/2KG1kZw
tmj_cao_aero,Sat Apr 13 21:37:26 +0000 2019,33.9201384,-118.3785046,Point,33.9158045,-118.3699205,Del Aire,"Want to work at LinQuest Corporation? We're hiring in #ElSegundo, CA! Click the link in our bio for details on this… https://t.co/IEhDAbU55S",https://twitter.com/i/web/status/1117180013726457856
tmj_cao_aero,Thu Apr 11 00:18:19 +0000 2019,34.0522342,-118.2436849,Point,34.0207895,-118.4119065,Los Angeles,"Can you recommend anyone for this Maintenance &amp; Technical Operations job in Los Angeles, CA? Click the link in our… https://t.co/7UZ1tMHcq6",https://twitter.com/i/web/status/1116133337637089281
tmj_cao_aero,Mon Apr 08 22:26:50 +0000 2019,33.9201384,-118.3785046,Point,33.9158045,-118.3699205,Del Aire,"See our latest #ElSegundo, CA #Aerospace job opportunity and click the link in our bio to apply: Senior Space Acqui… https://t.co/QeI8fUMomm",https://twitter.com/i/web/status/1115380507548610560
tmj_cao_aero,Sat Apr 06 16:06:49 +0000 2019,34.1898566,-118.451357,Point,34.0207895,-118.4119065,Los Angeles,"Can you recommend anyone for this #inspection #investigation job in Los Angeles, CA? Click the link in our bio to s… https://t.co/V6Hzn7mGcc",https://twitter.com/i/web/status/1114560096153944064
ETG_27,Thu Apr 18 22:09:26 +0000 2019,,,,33.9166485,-118.400264,El Segundo,@munekita22 Visita hermosa y manhattan beach. Pasa por marina del rey. Griffin observatory. LACMA. Disney concert h… https://t.co/PGPAcOtLkr,https://twitter.com/i/web/status/1119000006818586624
ETG_27,Thu Apr 18 20:32:22 +0000 2019,,,,33.9166485,-118.400264,El Segundo,@XanderThePlayer El carruaje venia a alta velocidad y pues la gente de costumbre decia: mira va a las millas del ch… https://t.co/gnYUjLLhRK,https://twitter.com/i/web/status/1118975578403561472
ETG_27,Thu Apr 18 20:28:37 +0000 2019,,,,33.9166485,-118.400264,El Segundo,@XanderThePlayer El chaflán son las esquina de las aceras en los bloques que estan cortadas a 45 grados. El casco u… https://t.co/jR5TLiLBaF,https://twitter.com/i/web/status/1118974635255554048
ETG_27,Thu Apr 18 04:44:42 +0000 2019,,,,33.9158045,-118.3699205,Del Aire,@XanderThePlayer Pero no se lleva el mvp.,
ETG_27,Thu Apr 18 01:32:40 +0000 2019,,,,33.9166485,-118.400264,El Segundo,Malditasea cuando no se ficho a tatum..,
ETG_27,Wed Apr 17 17:23:12 +0000 2019,,,,33.9166485,-118.400264,El Segundo,Este chiste sobre como nuestra generacion quiere atar su importancia en cualquier situacion mediatica esta buenisim… https://t.co/bxDJgXxSHY,https://twitter.com/i/web/status/1118565587880300550
ETG_27,Wed Apr 17 16:00:18 +0000 2019,,,,33.9158045,-118.3699205,Del Aire,Fake news. https://t.co/bOgMvoF2C7,https://twitter.com/zmaa24/status/1118143180657000450
CozyBoyBryan,Thu Apr 18 22:16:51 +0000 2019,,,,33.94389398,-118.4050226,Los Angeles International Airport (LAX),LA 📍,
CozyBoyBryan,Thu Apr 18 13:06:26 +0000 2019,,,,30.7060885,-95.54726925,Huntsville,Cali today 🤩☀️,
CozyBoyBryan,Thu Apr 18 08:11:33 +0000 2019,,,,30.7060885,-95.54726925,Huntsville,Tf this rain come from 🤦🏾‍♂️,
CozyBoyBryan,Wed Apr 17 18:02:13 +0000 2019,,,,30.7060885,-95.54726925,Huntsville,Shut up old man nobody asked you https://t.co/Zetq1DGenc,https://twitter.com/liljefferson5/status/1118573702118027265
CozyBoyBryan,Wed Apr 17 01:47:58 +0000 2019,,,,30.7060885,-95.54726925,Huntsville,Just got a fresh chop. https://t.co/6DU2Ohzt0x,https://twitter.com/CozyBoyBryan/status/1118330228198256640/video/1
CozyBoyBryan,Wed Apr 17 00:48:39 +0000 2019,,,,30.7060885,-95.54726925,Huntsville,EATING ALL THESE FRIES WHILE MY STOMACH GETTING BIGGER https://t.co/j02nGDu61K,https://twitter.com/inthewood_/status/1118314563273990144
CozyBoyBryan,Wed Apr 17 00:42:57 +0000 2019,,,,30.7060885,-95.54726925,Huntsville,FAST FOOD ONLY AINT NO VEGGIES IN THE PICTURE https://t.co/UX1q4i10wP,https://twitter.com/inthewood_/status/1118313387434356736
CozyBoyBryan,Wed Apr 17 00:33:20 +0000 2019,,,,30.7060885,-95.54726925,Huntsville,SO YOU KNOW MY MEAL IS BIGGER https://t.co/UqspBetK4F,https://twitter.com/spooknannyy/status/1118311117879685120
CozyBoyBryan,Wed Apr 17 00:25:47 +0000 2019,,,,30.7060885,-95.54726925,Huntsville,I was caught off guard 🤦🏾‍♂️😂 https://t.co/m0ND4AmmJC,https://twitter.com/inthewood_/status/1118308287123005441
tmj_lax_eng,Thu Apr 18 22:21:10 +0000 2019,33.9150066,-118.4046264,Point,33.9166485,-118.400264,El Segundo,This #Engineering job might be a great fit for you. Click the link in our bio to see it and more. Intermediate Leve… https://t.co/OS1ScGLwQi,https://twitter.com/i/web/status/1119002961168875520
tmj_lax_eng,Thu Apr 18 21:14:56 +0000 2019,33.9191799,-118.4164652,Point,33.9166485,-118.400264,El Segundo,Looking to score a job at AT&amp;T? You're in luck. Click the link in our bio for the job description and information o… https://t.co/dDeNMkLF7w,https://twitter.com/i/web/status/1118986293847789568
tmj_lax_eng,Thu Apr 18 20:08:36 +0000 2019,33.9150066,-118.4046264,Point,33.9166485,-118.400264,El Segundo,"Can you recommend anyone for this job? Systems Engineer Sr-Horizon 2 - https://t.co/xiUYRrfqQp #Engineering #ElSegundo, CA",http://bit.ly/2Xqzh1Q
tmj_lax_eng,Thu Apr 18 19:02:18 +0000 2019,33.9191799,-118.4164652,Point,33.9166485,-118.400264,El Segundo,This #Engineering job might be a great fit for you. Click the link in our bio to see it and more. Senior-Software E… https://t.co/R4mJvy09yb,https://twitter.com/i/web/status/1118952915232706560
tmj_lax_eng,Thu Apr 18 17:56:00 +0000 2019,34.0405313,-118.2554032,Point,34.0207895,-118.4119065,Los Angeles,Looking to score a job at Cameron Craig Group? You're in luck. Click the link in our bio for the job description an… https://t.co/aZep2Ebmd1,https://twitter.com/i/web/status/1118936229519613953
