Id,Id2,Total; Estimate; Population 25 years and over,25_AssociatedDeg_orHigher,Total; Estimate; Population 25 years and over - Associate's degree,Total; Estimate; Population 25 years and over - Bachelor's degree,Total; Estimate; Population 25 years and over - Graduate or professional degree
7950000US0600101,600101,87940,67840,4254,29551,34035
7950000US0600102,600102,129884,63229,8036,33438,21755
7950000US0600103,600103,100776,71694,5363,32691,33640
7950000US0600104,600104,83871,17710,4674,8588,4448
7950000US0600105,600105,125145,57752,8889,31223,17640
7950000US0600106,600106,100861,39059,8273,20660,10126
7950000US0600107,600107,106187,36398,7726,20785,7887
7950000US0600108,600108,102847,46501,5987,24876,15638
7950000US0600109,600109,143492,85836,8348,41151,36337
7950000US0600110,600110,158146,97251,12426,50174,34651
7950000US0600300,600300,141527,45226,13860,20444,10922
7950000US0600701,600701,70351,33710,7642,17040,9028
7950000US0600702,600702,75567,19953,7174,8771,4008
7950000US0601100,601100,84647,19390,6777,9101,3512
7950000US0601301,601301,78809,22482,5436,11235,5811
7950000US0601302,601302,91955,45660,7865,22931,14864
7950000US0601303,601303,95895,43242,8836,23834,10572
7950000US0601304,601304,91762,69248,5431,36646,27171
7950000US0601305,601305,86056,64303,6011,34632,23660
7950000US0601306,601306,87505,54175,7075,29994,17106
7950000US0601307,601307,86499,26991,7749,13998,5244
7950000US0601308,601308,73057,22188,6564,11162,4462
7950000US0601309,601309,75594,27513,8330,14089,5094
7950000US0601500,601500,94927,26957,9761,10898,6298
7950000US0601700,601700,132744,58539,14291,28348,15900
7950000US0601901,601901,86976,12684,5259,5372,2053
7950000US0601902,601902,121972,56611,12585,28059,15967
7950000US0601903,601903,59449,12418,4651,5436,2331
7950000US0601904,601904,103963,22321,8134,9712,4475
7950000US0601905,601905,63406,11589,4123,5238,2228
7950000US0601906,601906,71378,30886,7737,15003,8146
7950000US0601907,601907,81347,21158,6789,9558,4811
7950000US0602300,602300,91359,35466,8582,17668,9216
7950000US0602500,602500,108522,22472,6974,10692,4806
7950000US0602901,602901,117963,22858,7088,10460,5310
7950000US0602902,602902,132450,45081,11854,22603,10624
7950000US0602903,602903,91512,17345,5663,7452,4230
7950000US0602904,602904,60845,5949,2737,2166,1046
7950000US0602905,602905,123516,29963,10773,12842,6348
7950000US0603100,603100,91889,19571,7580,8518,3473
7950000US0603300,603300,108059,32813,10412,14705,7696
7950000US0603701,603701,91459,33732,8368,16785,8579
7950000US0603702,603702,126946,57702,12458,30717,14527
7950000US0603703,603703,103867,26316,9608,10889,5819
7950000US0603704,603704,100070,22302,7298,9823,5181
7950000US0603705,603705,125171,59363,9948,32313,17102
7950000US0603706,603706,95689,32725,6887,17420,8418
7950000US0603707,603707,97966,16102,4831,8625,2646
7950000US0603708,603708,92423,27425,7447,14159,5819
7950000US0603709,603709,80330,50223,6838,24055,19330
7950000US0603710,603710,114671,30216,8111,15426,6679
7950000US0603711,603711,115401,57208,11545,26084,19579
7950000US0603712,603712,91277,21749,5658,11901,4190
7950000US0603713,603713,75718,32348,6454,18744,7150
7950000US0603714,603714,81564,44309,7022,25930,11357
7950000US0603715,603715,80746,25503,6431,14461,4611
7950000US0603716,603716,74469,12772,4096,6721,1955
7950000US0603717,603717,139223,72537,11533,39439,21565
7950000US0603718,603718,101850,59737,7405,28111,24221
7950000US0603719,603719,147845,71664,13213,37530,20921
7950000US0603720,603720,88038,44274,7914,25119,11241
7950000US0603721,603721,97953,40137,7886,24128,8123
7950000US0603722,603722,114780,42488,8173,24184,10131
7950000US0603723,603723,91513,21646,4864,13604,3178
7950000US0603724,603724,126636,54413,8876,29058,16479
7950000US0603725,603725,128698,58634,9971,32203,16460
7950000US0603726,603726,72255,51075,4666,24733,21676
7950000US0603727,603727,120862,88565,6255,48123,34187
7950000US0603728,603728,82406,58517,4020,32024,22473
7950000US0603729,603729,142611,98408,7501,50420,40487
7950000US0603730,603730,125992,74047,6605,42484,24958
7950000US0603731,603731,93613,64645,5889,38359,20397
7950000US0603732,603732,135718,63067,7058,39715,16294
7950000US0603733,603733,81957,28246,4203,18924,5119
7950000US0603734,603734,143886,54047,7587,32931,13529
7950000US0603735,603735,135582,47123,8823,25620,12680
7950000US0603736,603736,85498,40308,6604,21096,12608
7950000US0603737,603737,96015,30602,6839,17169,6594
7950000US0603738,603738,88176,14195,4256,7830,2109
7950000US0603739,603739,115490,41265,9904,20568,10793
7950000US0603740,603740,87846,20143,6217,10361,3565
7950000US0603741,603741,84269,8862,3786,4023,1053
7950000US0603742,603742,77455,6968,2627,3446,895
7950000US0603743,603743,73684,8445,3084,4149,1212
7950000US0603744,603744,120830,31961,5377,18331,8253
7950000US0603745,603745,69390,4956,1912,2319,725
7950000US0603746,603746,64876,13029,2482,7553,2994
7950000US0603747,603747,109254,32005,7823,15229,8953
7950000US0603748,603748,140439,89761,8710,47137,33914
7950000US0603749,603749,74886,19188,5392,9565,4231
7950000US0603750,603750,109352,16780,6107,7819,2854
7950000US0603751,603751,87594,8382,3546,3958,878
7950000US0603752,603752,104377,12673,4617,6105,1951
7950000US0603753,603753,72337,21964,5969,11181,4814
7950000US0603754,603754,92783,26807,7976,12819,6012
7950000US0603755,603755,78920,20520,6663,10145,3712
7950000US0603756,603756,72029,14891,4871,7411,2609
7950000US0603757,603757,95604,12990,5635,5500,1855
7950000US0603758,603758,105412,28170,8201,14512,5457
7950000US0603759,603759,72741,19160,4612,10685,3863
7950000US0603760,603760,102392,72223,6991,39154,26078
7950000US0603761,603761,90407,50852,7952,28588,14312
7950000US0603762,603762,79455,28933,7270,15990,5673
7950000US0603763,603763,91988,25973,7243,12950,5780
7950000US0603764,603764,111883,48930,10550,25897,12483
7950000US0603765,603765,93886,54537,8322,27797,18418
7950000US0603766,603766,66137,17876,4257,9090,4529
7950000US0603767,603767,119316,33716,9229,17655,6832
7950000US0603768,603768,81615,53149,6147,26009,20993
7950000US0603769,603769,66330,21800,4360,11530,5910
7950000US0603900,603900,96096,20891,7595,8945,4351
7950000US0604101,604101,82404,47277,6049,24554,16674
7950000US0604102,604102,108651,74778,6130,37467,31181
7950000US0604701,604701,65152,10707,3794,4680,2233
7950000US0604702,604702,91410,22113,7485,9326,5302
