Id,Id2,Geography,Number; Estimate; All households,Mean income (dollars); Estimate; All households
7950000US0600101,600101,"Alameda County (North)--Berkeley & Albany Cities PUMA, California",52795,116161
7950000US0600102,600102,"Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities PUMA, California",73141,77699
7950000US0600103,600103,"Alameda County (Northeast)--Oakland (East) & Piedmont Cities PUMA, California",55244,155001
7950000US0600104,600104,"Alameda County (North Central)--Oakland City (South Central) PUMA, California",40543,60153
7950000US0600105,600105,"Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities PUMA; California",64366,101125
7950000US0600106,600106,"Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland PUMA; California",48671,95224
7950000US0600107,600107,"Alameda County (Central)--Hayward City PUMA, California",46770,95988
7950000US0600108,600108,"Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities PUMA; California",42232,123991
7950000US0600109,600109,"Alameda County (South Central)--Fremont City (East) PUMA, California",65486,141220
7950000US0600110,600110,"Alameda County (East)--Livermore, Pleasanton & Dublin Cities PUMA; California",79822,151928
7950000US0600300,600300,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties PUMA; California",74927,73783
7950000US0600701,600701,"Butte County (Northwest)--Chico City PUMA, California",45231,72866
7950000US0600702,600702,"Butte County (Southeast)--Oroville City & Paradise Town PUMA, California",40936,58942
7950000US0601100,601100,"Colusa, Glenn, Tehama & Trinity Counties PUMA; California",46157,60594
7950000US0601301,601301,"Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities PUMA, California",38638,68988
7950000US0601302,601302,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites PUMA; California",44832,110233
7950000US0601303,601303,"Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities PUMA; California",50599,101532
7950000US0601304,601304,"Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town PUMA; California",50864,184274
7950000US0601305,601305,"Contra Costa County (South)--San Ramon City & Danville Town PUMA, California",44424,184199
7950000US0601306,601306,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities PUMA; California",46380,132713
7950000US0601307,601307,"Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities PUMA, California",41598,85367
7950000US0601308,601308,"Contra Costa County (Northeast)--Antioch City PUMA, California",35083,86564
7950000US0601309,601309,"Contra Costa County (East)--Brentwood & Oakley Cities PUMA, California",37179,108107
7950000US0601500,601500,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties PUMA; California",50067,59659
7950000US0601700,601700,"El Dorado County--El Dorado Hills PUMA, California",68084,99817
7950000US0601901,601901,"Fresno County (West)--Selma, Kerman & Coalinga Cities PUMA; California",39220,59803
7950000US0601902,601902,"Fresno County (North Central)--Fresno City (North) PUMA, California",67630,91132
7950000US0601903,601903,"Fresno County (Central)--Fresno City (East Central) PUMA, California",32927,47073
7950000US0601904,601904,"Fresno County (Central)--Fresno City (Southwest) PUMA, California",53339,51833
7950000US0601905,601905,"Fresno County (Central)--Fresno City (Southeast) PUMA, California",30371,53098
7950000US0601906,601906,"Fresno County (Central)--Clovis City PUMA, California",38373,90678
7950000US0601907,601907,"Fresno County (East)--Sanger, Reedley & Parlier Cities PUMA; California",39964,69954
7950000US0602300,602300,"Humboldt County PUMA, California",53966,60394
7950000US0602500,602500,"Imperial County--El Centro City PUMA, California",45198,62145
7950000US0602901,602901,"Kern County (West)--Delano, Wasco & Shafter Cities PUMA; California",51005,73741
7950000US0602902,602902,"Kern County (Central)--Bakersfield City (West) PUMA, California",69196,89591
7950000US0602903,602903,"Kern County (Central)--Bakersfield City (Northeast) PUMA, California",49212,55711
7950000US0602904,602904,"Kern County (Central)--Bakersfield City (Southeast) PUMA, California",29389,48701
7950000US0602905,602905,"Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities PUMA; California",66191,63659
7950000US0603100,603100,"Kings County--Hanford City PUMA, California",42349,66431
7950000US0603300,603300,"Lake & Mendocino Counties PUMA, California",60509,62039
7950000US0603701,603701,"Los Angeles County (North/Unincorporated)--Castaic PUMA, California",41278,111671
7950000US0603702,603702,"Los Angeles County (Northwest)--Santa Clarita City PUMA, California",63609,107765
7950000US0603703,603703,"Los Angeles County (North Central)--Lancaster City PUMA, California",51465,62975
7950000US0603704,603704,"Los Angeles County (North Central)--Palmdale City PUMA, California",47827,73195
7950000US0603705,603705,"Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA, California",59463,105205
7950000US0603706,603706,"Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA, California",41142,93624
7950000US0603707,603707,"Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA, California",35489,72136
7950000US0603708,603708,"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA; California",41015,73819
7950000US0603709,603709,"Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA, California",39190,144255
7950000US0603710,603710,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA; California",45997,78601
7950000US0603711,603711,"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA; California",56297,107259
7950000US0603712,603712,"Los Angeles County (East Central)--Pomona City PUMA, California",38198,68145
7950000US0603713,603713,"Los Angeles County (East Central)--Covina & Walnut Cities PUMA, California",33338,94937
7950000US0603714,603714,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA; California",34169,104007
7950000US0603715,603715,"Los Angeles County (East Central)--West Covina City PUMA, California",32361,85542
7950000US0603716,603716,"Los Angeles County (East Central)--La Puente & Industry Cities PUMA, California",25307,76042
7950000US0603717,603717,"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA; California",62545,107340
7950000US0603718,603718,"Los Angeles County (Central)--Pasadena City PUMA, California",54381,109250
7950000US0603719,603719,"Los Angeles County (Central)--Glendale City PUMA, California",72351,86774
7950000US0603720,603720,"Los Angeles County (Central)--Burbank City PUMA, California",47792,93791
7950000US0603721,603721,"Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village) PUMA, California",53393,69019
7950000US0603722,603722,"Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks) PUMA, California",60114,72856
7950000US0603723,603723,"Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUMA, California",39383,63730
7950000US0603724,603724,"Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana) PUMA, California",60990,101390
7950000US0603725,603725,"Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills) PUMA; California",62896,100731
7950000US0603726,603726,"Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA; California",38233,203263
7950000US0603727,603727,"Los Angeles County (Central)--LA City (Central/Pacific Palisades) PUMA, California",70974,186393
7950000US0603728,603728,"Los Angeles County (Southwest)--Santa Monica City PUMA, California",52346,129462
7950000US0603729,603729,"Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles) PUMA, California",87459,112102
7950000US0603730,603730,"Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire) PUMA, California",72692,105413
7950000US0603731,603731,"Los Angeles County (Central)--West Hollywood & Beverly Hills Cities PUMA, California",59573,133729
7950000US0603732,603732,"Los Angeles County (Central)--LA City (East Central/Hollywood) PUMA, California",77402,75501
7950000US0603733,603733,"Los Angeles County (Central)--LA City (Central/Koreatown) PUMA, California",44504,48445
7950000US0603734,603734,"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA; California",74893,68377
7950000US0603735,603735,"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park) PUMA; California",61861,78175
7950000US0603736,603736,"Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA, California",41633,89665
7950000US0603737,603737,"Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA, California",38562,71302
7950000US0603738,603738,"Los Angeles County (Central)--El Monte & South El Monte Cities PUMA, California",34245,58103
7950000US0603739,603739,"Los Angeles County (Southeast)--Whittier City & Hacienda Heights PUMA, California",51919,92848
7950000US0603740,603740,"Los Angeles County (Central)--Pico Rivera & Montebello Cities PUMA, California",37728,69081
7950000US0603741,603741,"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA; California",34818,49962
7950000US0603742,603742,"Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUMA; California",31624,49531
7950000US0603743,603743,"Los Angeles County (Central)--East Los Angeles PUMA, California",31043,54092
