ID,D_time,D_geo_X,D_geo_Y,D_geo_type,D_box_X,D_box_Y,D_place_name,D_tweet_text,D_tweet_url
KimberGale,Wed Apr 17 03:18:15 +0000 2019,,,,33.94389398,-118.4050226,Los Angeles International Airport (LAX),Vacation time,
budacub,Wed Apr 17 15:40:02 +0000 2019,33.94662166,-118.4075052,Point,34.0207895,-118.4119065,Los Angeles,"I'm at Shake Shack in Los Angeles, CA w/ @broadwayjason https://t.co/ho7oLgSfqs",https://www.swarmapp.com/c/f607UbbITH4
budacub,Wed Apr 17 15:00:51 +0000 2019,33.94332434,-118.405602,Point,34.0207895,-118.4119065,Los Angeles,"I'm at Los Angeles International Airport - @flylaxairport in Los Angeles, CA w/ @broadwayjason https://t.co/8OTW4XdkQR",https://www.swarmapp.com/c/5tq4jTJiOXw
budacub,Wed Apr 17 12:45:13 +0000 2019,45.59095573,-122.5949121,Point,45.53640175,-122.6309082,Portland,"I'm at Concourse D in Portland, OR w/ @broadwayjason https://t.co/XrNdt1T0iF",https://www.swarmapp.com/c/8d0xdE3INOU
budacub,Wed Apr 17 12:09:19 +0000 2019,45.59075207,-122.5943468,Point,45.53640175,-122.6309082,Portland,"I'm at Your Northwest Travel Mart in Portland, OR w/ @broadwayjason https://t.co/AStKfjEyH6",https://www.swarmapp.com/c/eeBZDRF8O7Y
budacub,Wed Apr 17 11:56:20 +0000 2019,45.59043409,-122.5935989,Point,45.53640175,-122.6309082,Portland,"I'm at Peet's Coffee &amp; Tea in Portland, OR w/ @broadwayjason https://t.co/PFmngBlcMu",https://www.swarmapp.com/c/fgO5JZIb3Cb
budacub,Wed Apr 17 11:55:46 +0000 2019,45.5891134,-122.5938038,Point,45.53640175,-122.6309082,Portland,"I'm at Portland International Airport - @flypdx in Portland, OR w/ @broadwayjason https://t.co/2lB2miCdOK",https://www.swarmapp.com/c/eO8qetxtjrS
notohiro,Wed Apr 17 07:25:21 +0000 2019,33.9431672,-118.4096108,Point,34.0207895,-118.4119065,Los Angeles,iPadで写真編集する空港でのひと時。今回の出張、初めてMacBook持って行かなかったけど、まったく問題なかったし、1台で全て完結してむしろ快適だった。 @ Tom Bradley International Terminal… https://t.co/JaKGVIxWZB,https://twitter.com/i/web/status/1118415132730642433
notohiro,Tue Apr 16 15:34:49 +0000 2019,36.14742662,-115.1556205,Point,36.232915,-115.223125,Las Vegas,飛行機に寝坊して絶望の中登った景色。1時間はソファで反省してた。 @ Stratosphere Top Of The Tower https://t.co/wl0LUTsDaN,https://www.instagram.com/p/BwUlZcIAkgv/?utm_source=ig_twitter_share&igshid=12l2agn9f6pf5
notohiro,Sat Apr 13 20:47:27 +0000 2019,35.57594981,139.6597797,Point,35.57220757,139.6595449,Kawasaki-shi Nakahara-ku,"早朝で道空いてたから羽田から30分で着いた (@ Musashi-Kosugi Station in 川崎市, 神奈川県) https://t.co/AmlkXBVVLv",https://www.swarmapp.com/c/96VOgYzAWRa
notohiro,Sat Apr 13 19:32:30 +0000 2019,35.54843152,139.7804073,Point,35.566894,139.7395145,Ota-ku,"ただいまジャパン！ (@ Tokyo (Haneda) International Airport in 大田区, 東京都) https://t.co/Vn96aHC78I",https://www.swarmapp.com/c/5InMcAzetGX
notohiro,Sat Apr 13 04:36:22 +0000 2019,33.94332434,-118.405602,Point,34.0207895,-118.4119065,Los Angeles,"つきました (@ Los Angeles International Airport - @flylaxairport in Los Angeles, CA) https://t.co/PjVDlpSQRh",https://www.swarmapp.com/c/eWGa23Hj1Ut
albxdi,Wed Apr 17 15:29:10 +0000 2019,,,,24.99346225,55.55117235,Dubai,@mmkheyli Thanks cuzn,
albxdi,Tue Apr 16 22:12:56 +0000 2019,,,,34.0207895,-118.4119065,Los Angeles,@7mairii Thanks bro noor noork 💙,
albxdi,Tue Apr 16 21:31:51 +0000 2019,,,,34.0207895,-118.4119065,Los Angeles,@ObaidBnS Thanks ❤️,
