ID,O_time,O_geo_X,O_geo_Y,O_geo_type,O_box_X,O_box_Y,O_place_name,O_tweet_text,O_tweet_url
wilczy,Fri Apr 19 07:20:45 +0000 2019,33.9213,-118.406,Point,33.9166485,-118.400264,El Segundo,"Dammit, puck to the face. #hockeyface #awesomelysimple #lastampede @ El Segundo, California https://t.co/GpjsQN2IZe",https://www.instagram.com/p/BwbbPg3BBK2LN6K6lvYitRO7p9-Khw9ZzFHCYw0/?utm_source=ig_twitter_share&igshid=tbrmvwsvpwnt
Mike12329,Fri Apr 19 07:18:25 +0000 2019,33.91852009,-118.4277672,Point,34.0207895,-118.4119065,Los Angeles,Uh-oh... @ Scattergood Generating Station https://t.co/YQ5SiVAXHi,https://www.instagram.com/p/Bwba9_1gZfqwET-ItvzK7XRDAZVXeopwmG9mzc0/?utm_source=ig_twitter_share&igshid=1fl7erck8qnc6
Barondavis1959,Fri Apr 19 07:03:12 +0000 2019,33.96030232,-118.3779536,Point,34.0207895,-118.4119065,Los Angeles,THE ATMOSPHERE IS CHARGED WITH THE ANTICIPATION OF THE DESIGN TO COME... @ Monkeyfacetattoos https://t.co/73QiLjP3q9,https://www.instagram.com/p/BwbZPF1l9wo/?utm_source=ig_twitter_share&igshid=1o6kwrp0ezzdh
Kiiingjuan,Fri Apr 19 06:26:42 +0000 2019,,,,33.93823585,-118.357262,Lennox,New 03 &amp; Glizzy,
cajodi,Sun Apr 21 08:22:32 +0000 2019,,,,33.9166485,-118.400264,El Segundo,@GovMikeHuckabee @whca get ppl tweeting about your fake hysteria over loping to distract from SHS crime of lying to… https://t.co/BAzxWKv4V7,https://twitter.com/i/web/status/1119879073142939650
ed_vargas30,Sun Apr 21 08:04:22 +0000 2019,,,,33.9166485,-118.400264,El Segundo,😩😫😔,
hidejiiMETAL,Sun Apr 21 07:59:31 +0000 2019,,,,33.9166485,-118.400264,El Segundo,まいにち夜に続きをあげようとすると寝落ちしちゃうんだよな😓,
cajodi,Sun Apr 21 07:55:30 +0000 2019,,,,33.9166485,-118.400264,El Segundo,@CollaColbert2 @EdKrassen We’ll see.,
qttamari,Sun Apr 21 07:50:37 +0000 2019,,,,33.93823585,-118.357262,Lennox,"I was there today.  Earle’s on Crenshaw represented today for our King Nip today. #RIPNip 💙🖤❤️ 
Earle’s is the best… https://t.co/tIBOCeHAMa",https://twitter.com/i/web/status/1119871041260544000
CJaunefleure,Sun Apr 21 07:50:10 +0000 2019,33.95965749,-118.3958602,Point,34.0207895,-118.4119065,Los Angeles,Loving 🥰 Ihop ☺️🍔🥤🍽🍝🍟☕️🍦🍨 👩👧👱‍♀️👱‍♀️🌃 @junipercoleman rebecca.m.trebaol #familydinnernight #celebrationnight #ihop… https://t.co/trA4z09OuR,https://twitter.com/i/web/status/1119870928245018624
jrojasa75,Sat Apr 20 08:07:15 +0000 2019,,,,33.9166485,-118.400264,El Segundo,Tras casi cinco años sin marcar un gol #Uruguayo Diego Polenta sonríe de nuevo celebrando con #LAGalaxy #MLS así re… https://t.co/1cv4tJiHZZ,https://twitter.com/i/web/status/1119512841390710784
cajodi,Sat Apr 20 08:04:42 +0000 2019,,,,33.9166485,-118.400264,El Segundo,"@CollaColbert2 @EdKrassen Please read the report. Mueller laid out all of the ways he’s guilty. 

Nixon by comparison was a saint!",
jqgregory,Sat Apr 20 07:53:26 +0000 2019,,,,33.9166485,-118.400264,El Segundo,@rygorous @tom_forsyth Agree 100%.,
jasc_xx,Sat Apr 20 07:50:42 +0000 2019,,,,,,,I LOVE YOU BITCH ‼️,
easymoneyant1,Sat Apr 20 07:49:22 +0000 2019,,,,33.9166485,-118.400264,El Segundo,@BigLondon_ @iii_square 😂😂😂,
cajodi,Sat Apr 20 07:46:29 +0000 2019,,,,33.9166485,-118.400264,El Segundo,@CollaColbert2 @EdKrassen Except that they did!,
cajodi,Sat Apr 20 07:45:34 +0000 2019,,,,33.9166485,-118.400264,El Segundo,"@JolyonMaugham Indeed.  Ireland, even with all her troubles will always be home.  Wish I’d never left, 38 years ago… https://t.co/6aZ7ETrG6d",https://twitter.com/i/web/status/1119507382814437376
jrojasa75,Sat Apr 20 07:36:14 +0000 2019,,,,33.9166485,-118.400264,El Segundo,#LAGalaxy #Zlatan y su reacción tras el triunfo 2-1 vs #Dynamo #MLS https://t.co/tcWn29llVq,https://www.univision.com/deportes/futbol/mls-old/zlatan-celebra-victoria-encuentra-errores-y-se-despacha-con-el-var
urboifrend,Sat Apr 20 07:35:42 +0000 2019,,,,,,,@rainbowmnfs yukk,
i_theboyking,Sat Apr 20 07:29:27 +0000 2019,,,,33.9166485,-118.400264,El Segundo,"is it weird that i get slightly aroused when i look at expensive camera gear?

asking for science",
urboifrend,Sat Apr 20 07:27:22 +0000 2019,,,,,,,@hardy79091797 vpn buat buka grindr,
