Id,Id2,Geography,Estimate; Total:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino:
7950000US0600101,600101,"Alameda County (North)--Berkeley & Albany Cities PUMA, California",139644,74882,10778,28808,15590
7950000US0600102,600102,"Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities PUMA, California",169836,47349,40336,39082,32386
7950000US0600103,600103,"Alameda County (Northeast)--Oakland (East) & Piedmont Cities PUMA, California",132313,69922,19607,19184,13179
7950000US0600104,600104,"Alameda County (North Central)--Oakland City (South Central) PUMA, California",134481,9568,39374,12639,66891
7950000US0600105,600105,"Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities PUMA; California",173300,54936,17312,54434,36109
7950000US0600106,600106,"Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland PUMA; California",144513,45423,15621,29317,47296
7950000US0600107,600107,"Alameda County (Central)--Hayward City PUMA, California",156945,26640,14098,42396,63047
7950000US0600108,600108,"Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities PUMA; California",145426,25698,6618,72800,32284
7950000US0600109,600109,"Alameda County (South Central)--Fremont City (East) PUMA, California",204008,46259,6008,112216,29184
7950000US0600110,600110,"Alameda County (East)--Livermore, Pleasanton & Dublin Cities PUMA; California",229149,124204,5311,57480,31075
7950000US0600300,600300,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties PUMA; California",187376,145999,2404,2409,26190
7950000US0600701,600701,"Butte County (Northwest)--Chico City PUMA, California",115884,85326,1922,4437,19184
7950000US0600702,600702,"Butte County (Southeast)--Oroville City & Paradise Town PUMA, California",109323,78858,1360,5415,16261
7950000US0601100,601100,"Colusa, Glenn, Tehama & Trinity Counties PUMA; California",125698,77038,878,2105,40199
7950000US0601301,601301,"Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities PUMA, California",120420,17379,20440,16020,61474
7950000US0601302,601302,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites PUMA; California",125500,40396,15499,33513,27840
7950000US0601303,601303,"Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities PUMA; California",136479,69392,5511,15551,38043
7950000US0601304,601304,"Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town PUMA; California",127507,94387,1930,15658,9077
7950000US0601305,601305,"Contra Costa County (South)--San Ramon City & Danville Town PUMA, California",130808,69532,2827,42604,9781
7950000US0601306,601306,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities PUMA; California",119519,76563,2737,15801,17701
7950000US0601307,601307,"Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities PUMA, California",131669,39169,14688,17570,51489
7950000US0601308,601308,"Contra Costa County (Northeast)--Antioch City PUMA, California",115016,35972,21672,12092,37545
7950000US0601309,601309,"Contra Costa County (East)--Brentwood & Oakley Cities PUMA, California",116760,62028,7836,8735,31053
7950000US0601500,601500,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties PUMA; California",130183,94307,4086,2133,19244
7950000US0601700,601700,"El Dorado County--El Dorado Hills PUMA, California",185015,145153,1614,7805,23279
7950000US0601901,601901,"Fresno County (West)--Selma, Kerman & Coalinga Cities PUMA; California",147354,25536,1307,4452,113058
7950000US0601902,601902,"Fresno County (North Central)--Fresno City (North) PUMA, California",185741,90541,9564,20650,58586
7950000US0601903,601903,"Fresno County (Central)--Fresno City (East Central) PUMA, California",106385,23587,6863,16658,56470
7950000US0601904,601904,"Fresno County (Central)--Fresno City (Southwest) PUMA, California",173556,37881,17841,17320,95763
7950000US0601905,601905,"Fresno County (Central)--Fresno City (Southeast) PUMA, California",112790,14462,5851,20531,69692
7950000US0601906,601906,"Fresno County (Central)--Clovis City PUMA, California",113012,60898,3122,12546,32118
7950000US0601907,601907,"Fresno County (East)--Sanger, Reedley & Parlier Cities PUMA; California",132778,40772,669,3971,83755
7950000US0602300,602300,"Humboldt County PUMA, California",135490,101460,1389,3886,14986
7950000US0602500,602500,"Imperial County--El Centro City PUMA, California",179957,20372,4109,2263,150108
7950000US0602901,602901,"Kern County (West)--Delano, Wasco & Shafter Cities PUMA; California",197358,53960,5904,11170,122547
7950000US0602902,602902,"Kern County (Central)--Bakersfield City (West) PUMA, California",216629,94721,12212,18561,84389
7950000US0602903,602903,"Kern County (Central)--Bakersfield City (Northeast) PUMA, California",162702,38714,9559,3553,107012
7950000US0602904,602904,"Kern County (Central)--Bakersfield City (Southeast) PUMA, California",111668,14457,7097,2681,85699
7950000US0602905,602905,"Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities PUMA; California",190387,108786,10252,3843,59260
7950000US0603100,603100,"Kings County--Hanford City PUMA, California",150183,49728,8916,5463,80715
7950000US0603300,603300,"Lake & Mendocino Counties PUMA, California",151592,103639,1922,2415,33847
7950000US0603701,603701,"Los Angeles County (North/Unincorporated)--Castaic PUMA, California",140364,70888,7449,10272,45884
7950000US0603702,603702,"Los Angeles County (Northwest)--Santa Clarita City PUMA, California",195370,90789,8351,22189,65457
7950000US0603703,603703,"Los Angeles County (North Central)--Lancaster City PUMA, California",166235,56664,33883,6454,63304
7950000US0603704,603704,"Los Angeles County (North Central)--Palmdale City PUMA, California",169291,40078,19594,7194,97657
7950000US0603705,603705,"Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA, California",182380,75555,9242,34659,56575
7950000US0603706,603706,"Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA, California",143740,36722,4601,15607,83284
7950000US0603707,603707,"Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA, California",155127,9250,5279,6102,133171
7950000US0603708,603708,"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA; California",133211,49980,2716,9703,68077
7950000US0603709,603709,"Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA, California",112480,56263,10595,18052,22497
