GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Aggregate number of vehicles available:,Margin of Error; Aggregate number of vehicles available:,Estimate; Aggregate number of vehicles available: - Owner occupied,Margin of Error; Aggregate number of vehicles available: - Owner occupied,Estimate; Aggregate number of vehicles available: - Renter occupied,Margin of Error; Aggregate number of vehicles available: - Renter occupied
7950000US0600101,0600101,"Alameda County (North)--Berkeley & Albany Cities PUMA, California",69996,1197,41228,1254,28768,1095
7950000US0600102,0600102,"Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities PUMA, California",85222,1468,28210,1276,57012,1330
7950000US0600103,0600103,"Alameda County (Northeast)--Oakland (East) & Piedmont Cities PUMA, California",96134,1802,71522,1770,24612,1028
7950000US0600104,0600104,"Alameda County (North Central)--Oakland City (South Central) PUMA, California",63248,1554,31498,1423,31750,1246
7950000US0600105,0600105,"Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities PUMA; California",113987,1661,69404,1936,44583,1525
7950000US0600106,0600106,"Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland PUMA; California",97097,2007,62914,2083,34183,1718
7950000US0600107,0600107,"Alameda County (Central)--Hayward City PUMA, California",97096,1380,60339,1582,36757,1430
7950000US0600108,0600108,"Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities PUMA; California",94957,1445,69783,1706,25174,1447
7950000US0600109,0600109,"Alameda County (South Central)--Fremont City (East) PUMA, California",136905,1513,94486,2135,42419,1596
7950000US0600110,0600110,"Alameda County (East)--Livermore, Pleasanton & Dublin Cities PUMA; California",169330,1852,129939,2300,39391,1489
7950000US0600300,0600300,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties PUMA; California",156179,3000,122248,3093,33931,1849
7950000US0600701,0600701,"Butte County (Northwest)--Chico City PUMA, California",81636,1721,47926,1600,33710,1347
7950000US0600702,0600702,"Butte County (Southeast)--Oroville City & Paradise Town PUMA, California",79506,1722,59507,1743,19999,1016
7950000US0601100,0601100,"Colusa, Glenn, Tehama & Trinity Counties PUMA; California",91517,2041,66743,2203,24774,1407
7950000US0601301,0601301,"Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities PUMA, California",66751,1527,33826,1557,32925,1361
7950000US0601302,0601302,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites PUMA; California",89761,1441,66830,1809,22931,1407
7950000US0601303,0601303,"Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities PUMA; California",96205,2111,62663,2158,33542,1773
7950000US0601304,0601304,"Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town PUMA; California",99618,1682,81660,1924,17958,939
7950000US0601305,0601305,"Contra Costa County (South)--San Ramon City & Danville Town PUMA, California",95329,1300,79081,1583,16248,986
7950000US0601306,0601306,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities PUMA; California",89839,1542,68123,1838,21716,1340
7950000US0601307,0601307,"Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities PUMA, California",85711,1555,57607,1955,28104,1463
7950000US0601308,0601308,"Contra Costa County (Northeast)--Antioch City PUMA, California",74784,1604,51838,2032,22946,1546
7950000US0601309,0601309,"Contra Costa County (East)--Brentwood & Oakley Cities PUMA, California",85821,1730,68331,2121,17490,1669
7950000US0601500,0601500,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties PUMA; California",96685,2135,72612,1951,24073,1298
7950000US0601700,0601700,"El Dorado County--El Dorado Hills PUMA, California",146337,2422,120638,2640,25699,1500
7950000US0601901,0601901,"Fresno County (West)--Selma, Kerman & Coalinga Cities PUMA; California",76163,1750,45340,2069,30823,1524
7950000US0601902,0601902,"Fresno County (North Central)--Fresno City (North) PUMA, California",123060,1754,81484,2198,41576,1654
7950000US0601903,0601903,"Fresno County (Central)--Fresno City (East Central) PUMA, California",50633,1423,25802,1387,24831,1400
7950000US0601904,0601904,"Fresno County (Central)--Fresno City (Southwest) PUMA, California",84587,1505,47338,1833,37249,1678
7950000US0601905,0601905,"Fresno County (Central)--Fresno City (Southeast) PUMA, California",51421,1088,31148,1061,20273,1029
7950000US0601906,0601906,"Fresno County (Central)--Clovis City PUMA, California",76007,1539,53582,1414,22425,1002
7950000US0601907,0601907,"Fresno County (East)--Sanger, Reedley & Parlier Cities PUMA; California",81860,1816,59960,1942,21900,1221
7950000US0602300,0602300,"Humboldt County PUMA, California",97359,1961,63252,1741,34107,1656
7950000US0602500,0602500,"Imperial County--El Centro City PUMA, California",87257,2070,57650,2149,29607,1538
7950000US0602901,0602901,"Kern County (West)--Delano, Wasco & Shafter Cities PUMA; California",99340,1976,71262,1923,28078,1600
7950000US0602902,0602902,"Kern County (Central)--Bakersfield City (West) PUMA, California",141154,2252,99835,2351,41319,1768
7950000US0602903,0602903,"Kern County (Central)--Bakersfield City (Northeast) PUMA, California",80783,1856,47712,1898,33071,1387
7950000US0602904,0602904,"Kern County (Central)--Bakersfield City (Southeast) PUMA, California",55401,1497,31489,1619,23912,1628
7950000US0602905,0602905,"Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities PUMA; California",123182,2549,82560,2226,40622,1896
