"","GEOID10","STATEFP10","PUMACE10","NAMELSAD10","MTFCC10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","Shape_Leng","Shape_Area","Dest_pt_count","Origin_pt_count","Avg_Euc_Dist_Mi","Avg_tweetTime","Avg_RtDist_Mi","Avg_RtTime_min","Population_est","area_sq_km","area_sq_mi","pop_density_per_sq_mi","pop_density_fmt","Inc_per_household","inc.fmt","Vehicles_available","Veh_avail_per_person","Veh_avail_per_person_per_sqmi","Vehicles_available_PP_fmt","Male_pop","Female_pop","age_20_44","age_45_69","age_70_plus","Male_per_sq_mi","Female_per_sq_mi","age_20_44_per_sq_mi","age_45_69_per_sq_mi","age_70_plus_per_sq_mi","Male_per_sq_mi_fmt","Female_per_sq_mi_fmt","age_20_44_per_sq_mi_fmt","age_45_69_per_sq_mi_fmt","age_70_plus_per_sq_mi_fmt","Pop_25_older","25_AssociatedDeg_orHigher","Perc_25o_assc_above","Perc_25o_assc_above_fmt","Race_pop_est","Race_White","Race_Black","Race_Asian","Race_Hispanic","Perc_White","Perc_Black","Perc_Asian","Perc_Hispanic","Perc_White_fmt","Perc_Black_fmt","Perc_Asian_fmt","Perc_Hispanic_fmt"
"74","0605912","06","05912","Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA","G6120","S",48594228,0,"+33.7678929","-117.9976546",0.416680384477,0.00472939360944,1,0,26.9,66,32.8,40,171942,48.594228,18.7623226344503,9164,"9,164",51411,"$ 51,411",105640,0.614393225622594,11.5277171540812,"0.6143932",84199,87743,56920,54337,18609,4488,4677,3034,2896,992,"4,488","4,677","3,034","2,896","992",118493,38373,32.38,"32.38 %",171942,45845,2147,66564,51909,26.66,1.25,38.71,30.19,"26.66 %","1.25 %","38.71 %","30.19 %"
"62","0603763","06","03763","Los Angeles County (South Central)--Long Beach City (North) PUMA","G6120","S",34443649,771919,"+33.8493465","-118.1854060",0.316554033315,0.00343050633975,0,0,0,0,0,0,146808,34.443649,13.2987575241603,11039,"11,039",44314,"$ 44,314",81330,0.553988883439595,7.36751517347586,"0.5539889",71539,75269,54045,40245,9107,5379,5660,4064,3026,685,"5,379","5,660","4,064","3,026","685",91988,25973,28.24,"28.24 %",146808,21509,25820,19294,73642,14.65,17.59,13.14,50.16,"14.65 %","17.59 %","13.14 %","50.16 %"
"61","0603762","06","03762","Los Angeles County (South Central)--Carson City PUMA","G6120","S",54700156,664647,"+33.8335707","-118.2577368",0.400299299382,0.00539249058856,5,0,10.1,687,13.9,23,114487,54.700156,21.1198328951077,5421,"5,421",32661,"$ 32,661",71984,0.628752609466577,13.2787308614647,"0.6287526",55904,58583,38114,36372,13581,2647,2774,1805,1722,643,"2,647","2,774","1,805","1,722","643",79455,28933,36.41,"36.41 %",114487,10482,23166,31540,43360,9.16,20.23,27.55,37.87,"9.16 %","20.23 %","27.55 %","37.87 %"
"28","0603729","06","03729","Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles) PUMA","G6120","S",41760446,41058,"+34.0400161","-118.4317918",0.375258743714,0.00408109629154,53,0,6.3,334,8.3,19,206636,41.760446,16.1237865783266,12816,"12,816",87459,"$ 87,459",129414,0.626289707504985,10.0978464419476,"0.6262897",101943,104693,100421,48604,18397,6323,6493,6228,3014,1141,"6,323","6,493","6,228","3,014","1,141",142611,98408,69,"69 %",206636,107593,8859,43165,37005,52.07,4.29,20.89,17.91,"52.07 %","4.29 %","20.89 %","17.91 %"
"23","0603724","06","03724","Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana) PUMA","G6120","S",77097711,921592,"+34.1749120","-118.5240932",0.492390049636,0.00762887758273,0,0,0,0,0,0,179317,77.097711,29.7675709172622,6024,"6,024",60990,"$ 60,990",114247,0.637123083700932,18.9653054448871,"0.6371231",87810,91507,62816,56402,18222,2950,3074,2110,1895,612,"2,950","3,074","2,110","1,895","612",126636,54413,42.97,"42.97 %",179317,85554,6961,17501,63254,47.71,3.88,9.76,35.27,"47.71 %","3.88 %","9.76 %","35.27 %"
"45","0603746","06","03746","Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA","G6120","S",14312351,0,"+34.0289429","-118.2981147",0.156891958572,0.00139712964582,0,0,0,0,0,0,114531,14.312351,5.52602558311036,20726,"20,726",31791,"$ 31,791",41712,0.364198339314247,2.01254462993342,"0.3641983",56242,58289,49471,26296,7038,10178,10548,8952,4759,1274,"10,178","10,548","8,952","4,759","1,274",64876,13029,20.08,"20.08 %",114531,10943,17192,13400,70467,9.55,15.01,11.7,61.53,"9.55 %","15.01 %","11.7 %","61.53 %"
"20","0603721","06","03721","Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village) PUMA","G6120","S",26703596,53108,"+34.1785029","-118.3872082",0.246819923416,0.00261645074887,0,0,0,0,0,0,135866,26.703596,10.3103085340098,13178,"13,178",53393,"$ 53,393",81373,0.598920995686927,6.17491273334345,"0.598921",68016,67850,61020,37677,9856,6597,6581,5918,3654,956,"6,597","6,581","5,918","3,654","956",97953,40137,40.98,"40.98 %",135866,58582,7475,8880,57061,43.12,5.5,6.54,42,"43.12 %","5.5 %","6.54 %","42 %"
"36","0603737","06","03737","Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA","G6120","S",37814395,339818,"+34.0575988","-118.1113391",0.419958541129,0.00372570627617,1,0,18.7,979,30.5,41,130828,37.814395,14.6002088811154,8961,"8,961",38562,"$ 38,562",74615,0.57032898156358,8.32663765204776,"0.570329",63823,67005,42382,44600,17200,4371,4589,2903,3055,1178,"4,371","4,589","2,903","3,055","1,178",96015,30602,31.87,"31.87 %",130828,5315,322,82313,40567,4.06,0.25,62.92,31.01,"4.06 %","0.25 %","62.92 %","31.01 %"
"53","0603754","06","03754","Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities PUMA","G6120","S",61171337,168539,"+33.9224561","-118.0342281",0.488684274871,0.00598049739849,1,0,16.9,595,18.9,30,142275,61.171337,23.618368024587,6024,"6,024",39561,"$ 39,561",87346,0.613923739237392,14.4996679946879,"0.6139237",69460,72815,49980,41925,13003,2941,3083,2116,1775,551,"2,941","3,083","2,116","1,775","551",92783,26807,28.89,"28.89 %",142275,31153,2215,13917,91005,21.9,1.56,9.78,63.96,"21.9 %","1.56 %","9.78 %","63.96 %"
"54","0603755","06","03755","Los Angeles County (Southeast)--Norwalk City PUMA","G6120","S",29969234,248841,"+33.9047927","-118.0880132",0.360638107393,0.00294563653408,0,0,0,0,0,0,123480,29.969234,11.5711774948938,10671,"10,671",31742,"$ 31,742",70747,0.572942986718497,6.62983787836192,"0.572943",61398,62082,44517,35461,9078,5306,5365,3847,3065,785,"5,306","5,365","3,847","3,065","785",78920,20520,26,"26 %",123480,14444,5245,16537,84930,11.7,4.25,13.39,68.78,"11.7 %","4.25 %","13.39 %","68.78 %"
